tweet_id,user_id,date,keywords/0,location,location/country,location/state,location/city,keywords/1,keywords/2,keywords/3,keywords/4
1238313826417881000,995809660425916400,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,United States,Virginia,Arlington,,,,
1238313826673496000,2269856990,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,,,,,,,
1238313826740772900,206811220,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,United States,New York,Queens,,,,
1238313826677710800,1316351750,Fri Mar 13 03:59:57 +0000 2020,covid19,,,,,,,,
1238313826677862400,1224719569199206400,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,,,,,,,
1238313826682056700,939163374,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,,,,,,,
1238313826715455500,898771784,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,United States,California,,,,,
1238313826791174100,57603422,Fri Mar 13 03:59:57 +0000 2020,wuhan,,United States,New York,,,,,
1238313826807877600,196858125,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,,,,,,,
1238313826786959400,24639741,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,,,,,,,
1238313826832941000,2159985821,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,,,,,,,
1238313826660966400,146371099,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,United States,Georgia,Atlanta,coronavirus,,,
1238313826837319700,1105323414,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,,,,,,,
1238313826254082000,325222978,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,,,,,,,
1238313826854060000,408823391,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,,,,,,,
1238313826715488300,1084773418484920300,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,Indonesia,Bali,,,,,
1238313827038638000,12277562,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,United States,Texas,,,,,
1238313827030257700,275477844,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,,,,,,,
1238313826967265300,2774480962,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,,,,,,,
1238313827059392500,935340182,Fri Mar 13 03:59:57 +0000 2020,wuhan,,United States,,,,,,
1238313827114115000,70110987,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,,,,,,,
1238313827097120800,2277371017,Fri Mar 13 03:59:57 +0000 2020,covid,,United States,California,Fresno,,,,
1238313826996584400,979213868,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,,,,,,,
1238313827130847200,937403598711017500,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,United States,,,,,,
1238313827017658400,986018829259112400,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,Argentina,Tucuman,,,,,
1238313827101442000,703938285,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,Brazil,Rio De Janeiro,Rio De Janeiro,,,,
1238313827080552400,3365988772,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,Canada,Ontario,Windsor,,,,
1238313827101360000,2261455381,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,,,,,,,
1238313827151872000,19953100,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,,,,,,,
1238313827281797000,1865235769,Fri Mar 13 03:59:57 +0000 2020,coronavirus,,,,,,,,
1238313830754791400,1204584617426268200,Fri Mar 13 03:59:58 +0000 2020,coronavirus,,,,,,,,
